X,0,15,30,45,60,75,90,105,120,135,150,165,180,195,210,225,240,255,270,285,300,315,330,345,360,103 pts LE smooth of B,103 pts LE smooth of C,103 pts LE smooth of D,103 pts LE smooth of E,103 pts LE smooth of F,103 pts LE smooth of G,103 pts LE smooth of H,103 pts LE smooth of I,103 pts LE smooth of J,103 pts LE smooth of K,103 pts LE smooth of L,103 pts LE smooth of M,103 pts LE smooth of N,103 pts LW smooth of O,103 pts LE smooth of P,103 pts LE smooth of Q,103 pts LE smooth of R,103 pts LE smooth of S,103 pts LE smooth of T,103 pts LE smooth of U,103 pts LE smooth of V,103 pts LE smooth of W,103 pts LE smooth of X,103 pts LE smooth of Y,103 pts LE smooth of Z
672.089,752.125,754.75,751.125,752.75,753.375,755.75,756.75,758.5,754.625,756.75,754.125,754.25,753.375,752.875,753.375,755.625,755.25,754.75,757.625,757.125,757,757,757,755.25,753.75,755.729055565974,754.665457326534,755.614440806735,754.627401655671,756.487894038104,757.522328742692,758.62355239683,757.799298715352,757.926360139192,757.888286973648,756.143438414614,755.989994044663,755.486707059408,755.700414395391,754.176224611947,755.950615954534,757.135704456643,757.392897830862,758.855802094669,759.000511993318,756.391368839268,758.468977998144,756.391368839268,754.896120233326,754.923474303021
672.358,753.25,753.375,754.375,753.25,755.25,757.875,757.625,757.5,757.125,755.625,756.125,756.25,753.625,752.5,753.75,755.5,758,759.25,759.375,756.625,755.75,758.375,755.75,755.375,754,755.722003535444,754.647000079437,755.591252067167,754.597808384385,756.435610307274,757.450915486455,758.554438440876,757.71015625413,757.850777503325,757.838065110279,756.110779219404,755.966322625895,755.469004245438,755.727688502881,754.148012127148,755.922975297923,757.095844185268,757.329409877095,758.804618011427,758.951141466712,756.390418656378,758.46598478393,756.390418656378,754.897909893696,754.914536555332
672.628,755.25,755.75,755.5,755.625,758.75,757.5,758.375,758.375,759.25,759.125,757.875,755.375,756,752.333,753.438,755.75,755.875,759.375,759.5,758.875,756.125,759.875,756.125,756.5,755.063,755.713914353389,754.628239662542,755.566349974314,754.565566991022,756.379391091991,757.37437710183,758.480219956587,757.617334419658,757.772264504212,757.78677853721,756.076701706507,755.942779384386,755.45204441777,755.753922948699,754.119476424786,755.891872016399,757.049763812637,757.261039507936,758.746881185321,758.893993611136,756.388798829011,758.459085561884,756.388798829011,754.903002203508,754.906792522627
672.898,754.25,753.125,752.375,755.625,754.5,756,755.125,759.25,757.625,756.375,756.75,753.125,756.25,752.167,753.125,756.625,755.375,756.625,757.25,758.938,755.375,757.75,755.375,752.75,756.125,755.70477645534,754.609243504131,755.539758153521,754.530720470859,756.319320573412,757.29288199326,758.40107989604,757.521089795295,757.691042211225,757.734603098551,756.041279602971,755.919412336224,755.435917976203,755.779052052778,754.090678490282,755.85733986524,756.997449976065,757.187942823717,758.682657351667,758.829046789239,756.386532100163,758.44824294194,756.386532100163,754.911158294231,754.900347936051
673.167,755.125,754.5,755.625,755.375,756.375,758.125,757.875,758.875,759.5,755,754.75,753.75,753.125,752,753.75,755.75,755.125,756,759.25,759,757.75,753.25,757.75,755.625,754.5,755.694602783294,754.590099243058,755.511512152868,754.493339670702,756.25550986041,757.206654440719,758.317256207174,757.421714114209,757.607351157286,757.681720994073,756.004587525077,755.896262209905,755.420707956183,755.803045119212,754.061696849687,755.819441263844,756.93894971667,757.110312547319,758.612076758259,758.756351279217,756.383655746062,758.433456816111,756.383655746062,754.922007409992,754.895306569828
673.437,751.25,751,755,753.25,756.5,754.625,758.125,754.75,756.125,758,753.625,756.25,755.625,753.125,752.5,754.25,757.375,755.25,757.875,757.625,756.5,758,756.5,754.625,756.25,755.68330499094,754.57070880741,755.481318597518,754.45306053498,756.187322284848,757.11493031901,758.228026951987,757.318363070632,757.520468850651,757.627720403841,755.966268055889,755.873113597292,755.406335102172,755.82615929181,754.032307155349,755.777779693421,756.873610853707,757.0274325262,758.534436458165,758.675077527444,756.380180645164,758.414535863423,756.380180645164,754.935202591146,754.891736286258
673.707,756,756.5,756.75,756.375,755,758.125,759.25,759.5,757.75,760.25,753.75,757,757.375,754.75,755.25,758.625,756.125,759.5,760.25,761.375,757.625,760.875,757.625,755.875,755.75,755.670927647269,754.551227197738,755.449175430314,754.409919042343,756.114787325106,757.017874885014,758.133569566919,757.211271678109,757.430567701538,757.572777985742,755.926352769573,755.850011215268,755.392905556552,755.848408187921,754.002637384431,755.732339476789,756.801378496437,756.939403957436,758.449763105257,758.585125360319,756.376152645123,758.391432702514,756.376152645123,754.950143584419,754.889787818494
673.976,756.125,756,757.125,756.75,754.5,757.25,759.375,756.5,759.25,758.75,759.375,755.5,753.5,754.25,753.625,756.75,757.875,757.125,759.625,760.25,756.25,757.375,756.25,757.625,755.25,755.657569580932,754.531871609879,755.415082548499,754.363988008448,756.037953488539,756.915714127441,758.034102913974,757.10071462898,757.337831795004,757.51707509644,755.884881952509,755.826995046661,755.380522238587,755.869844564363,753.972863998883,755.683119172476,756.722244861416,756.846355315185,758.358134892359,758.486447001819,756.371632916313,758.364131401274,756.371632916313,754.966033816993,754.889611993919
674.246,760.25,755.375,764.375,756.125,760.875,760.125,761.375,756.313,762.125,765.125,762.375,762.625,762.5,753.813,754.063,761.625,763.5,760,766.5,758.875,757.063,766.375,757.063,764.5,759.375,755.643220736026,754.512714343492,755.378617327565,754.314815138428,755.95595656899,756.807500368196,757.928678287179,756.985702294035,757.241362088576,757.460149994444,755.841411248759,755.803843757445,755.369160220691,755.890783722008,753.942889613533,755.629497951378,756.635245311241,756.747295898313,758.258527340495,758.377780257406,756.366640739072,758.332253868583,756.366640739072,754.982039779301,754.891389063728
674.515,756.25,754.75,756.125,755.5,755.25,759.875,760.75,756.125,760.75,757.5,757.125,756.625,755.625,753.375,754.5,756.25,758.25,757.5,756.625,757.5,757.875,757.625,757.875,755,757.688,755.628129888598,754.494212107061,755.339826792162,754.262655900356,755.869059389027,756.693826633527,757.817807819531,756.866904879322,757.141607127876,757.402350365309,755.796088846633,755.780677957349,755.35898428342,755.911249749865,753.913150093076,755.571541160127,756.5405775384,756.642578100777,758.151256370527,758.259300797488,756.361284234858,758.29580071565,756.361284234858,754.99682417885,754.895316059086
674.785,760.125,754.625,757.625,756.875,759.5,758.625,760.875,756.208,761.375,758.875,757.875,757.875,758.75,752.938,757.5,756.875,760,760.875,760,762.75,760.5,759.375,760.5,758.5,756,755.61239841859,754.476693006029,755.298116911226,754.207044287459,755.776204336256,756.573624567134,757.70032289759,756.743259915197,757.037488091025,757.343126407819,755.748358395839,755.757266191868,755.349992382172,755.931595386881,753.883775263801,755.508382892688,756.437009907305,756.530939825349,758.035005740599,758.129409402314,756.355622116021,758.254167283599,756.355622116021,755.008950147366,754.90164856097
