2380 f  =    0.369507 THz     2.321684 2PiTHz   12.325443 cm-1     1.528159 meV
             X         Y         Z           dx          dy          dz
     15.434645 -7.869173  3.751471     0.000038    0.000065    0.034338
     18.155195 -9.439815  3.746455    -0.000865    0.000637    0.032638
     20.874219-11.009380  3.734259    -0.001469    0.001064    0.027826
     23.591364-12.577898  3.719760    -0.001493    0.001163    0.021091
     26.305542-14.144350  3.708505    -0.001006    0.000891    0.014640
     29.018018-15.710540  3.703212    -0.000270    0.000474    0.010611
      1.852408  3.106123  3.706348     0.000518    0.000909    0.012407
      4.564642  1.540172  3.709478     0.001272    0.000441    0.014643
      7.278206 -0.026314  3.717310     0.001875    0.000011    0.020171
      9.993737 -1.593723  3.729068     0.001997   -0.000274    0.027026
     12.711852 -3.162565  3.741042     0.001485   -0.000277    0.032876
     15.431934 -4.732678  3.747936     0.000615    0.000025    0.036126
     18.152645 -6.303529  3.747382    -0.000294    0.000550    0.036117
     20.872568 -7.873968  3.739626    -0.000991    0.001154    0.032852
     23.590381 -9.443670  3.727260    -0.001246    0.001600    0.027003
     26.305383-11.011753  3.715068    -0.000939    0.001634    0.020166
     29.018701-12.578309  3.707778    -0.000266    0.001325    0.014654
      1.853442  6.239226  3.714734     0.000441    0.001602    0.017333
      4.565800  4.673304  3.715784     0.001162    0.001188    0.017311
      7.278856  3.107468  3.720979     0.001752    0.000728    0.021108
      9.993637  1.541163  3.729385     0.001997    0.000294    0.027031
     12.710903 -0.026272  3.738755     0.001685    0.000011    0.033014
     15.429955 -1.595161  3.744972     0.000980    0.000012    0.037319
     18.150504 -3.165650  3.746510     0.000180    0.000326    0.038937
     20.870990 -4.736441  3.743469    -0.000492    0.000864    0.037296
     23.589509 -6.307103  3.736114    -0.000847    0.001478    0.032985
     26.305300 -7.876273  3.726192    -0.000756    0.001889    0.027014
     29.018854 -9.444141  3.718084    -0.000255    0.001888    0.021119
      1.854344  9.374598  3.727532     0.000341    0.001852    0.023707
      4.567205  7.808068  3.726605     0.000925    0.001604    0.022046
      7.280628  6.241738  3.729617     0.001430    0.001221    0.023692
      9.995473  4.676047  3.735527     0.001654    0.000756    0.027870
     12.711804  3.109984  3.741731     0.001484    0.000297    0.032905
     15.430008  1.542673  3.745324     0.000981    0.000012    0.037342
     18.149819 -0.026155  3.746267     0.000365    0.000013    0.040058
     20.869942 -1.596653  3.745308    -0.000182    0.000331    0.040041
     23.588659 -3.167660  3.742781    -0.000491    0.000867    0.037300
     26.304849 -4.737928  3.737853    -0.000495    0.001449    0.032866
     29.019140 -6.307260  3.731758    -0.000179    0.001823    0.027857
      1.855033 12.512896  3.741136     0.000255    0.001450    0.029391
      4.568756 10.944849  3.739162     0.000648    0.001497    0.027322
      7.282958  9.377459  3.740189     0.000974    0.001307    0.027324
      9.998026  7.811862  3.744062     0.001125    0.000940    0.029401
     12.714245  6.246090  3.748042     0.000984    0.000447    0.032704
     15.431907  4.680397  3.748972     0.000617   -0.000006    0.036186
     18.150439  3.113249  3.747227     0.000184   -0.000303    0.038986
     20.869850  1.544167  3.745708    -0.000180   -0.000304    0.040065
     23.588423 -0.026309  3.745325    -0.000360    0.000014    0.038946
     26.304875 -1.597129  3.745128    -0.000318    0.000541    0.036130
     29.019280 -3.167469  3.743737    -0.000106    0.001085    0.032661
      1.855358 15.653177  3.749706     0.000189    0.000552    0.032655
      4.569693 14.083749  3.749061     0.000419    0.000890    0.031425
      7.284595 12.514923  3.748805     0.000552    0.000945    0.030941
     10.000696 10.948220  3.750783     0.000570    0.000801    0.031443
     12.717460  9.382090  3.753383     0.000387    0.000434    0.032690
     15.434792  7.816949  3.752609     0.000040   -0.000051    0.034410
     18.152601  6.251329  3.748452    -0.000288   -0.000532    0.036193
     20.870887  4.684100  3.744292    -0.000485   -0.000841    0.037356
     23.588706  3.115252  3.743118    -0.000485   -0.000841    0.037336
     26.304763  1.544786  3.745160    -0.000315   -0.000515    0.036146
     29.019342 -0.025869  3.748484    -0.000059    0.000010    0.034361
      1.855374 18.794321  3.749667     0.000193   -0.000538    0.032668
      4.569894 17.224103  3.752616     0.000345    0.000003    0.033007
      7.285776 15.653807  3.753089     0.000336    0.000356    0.033350
     10.002663 14.085932  3.753918     0.000156    0.000460    0.033360
     12.720034 12.518484  3.755156    -0.000153    0.000293    0.033031
     15.437640 10.953029  3.753316    -0.000548   -0.000110    0.032694
     18.154928  9.387585  3.747602    -0.000859   -0.000625    0.032712
     20.872457  7.821950  3.740750    -0.000982   -0.001137    0.032921
     23.589251  6.254507  3.736825    -0.000837   -0.001457    0.033036
     26.304957  4.685708  3.738243    -0.000487   -0.001427    0.032904
     29.019353  3.115665  3.743856    -0.000101   -0.001066    0.032690
      1.854930 21.934760  3.740995     0.000262   -0.001437    0.029431
      4.569589 20.364342  3.748876     0.000423   -0.000882    0.031446
      7.285739 18.793368  3.752998     0.000338   -0.000351    0.033353
     10.003212 17.224055  3.754406     0.000015    0.000002    0.034164
     12.721571 15.655390  3.754621    -0.000451    0.000107    0.033360
     15.439711 14.088459  3.751442    -0.000953   -0.000085    0.031447
     18.157265 12.522730  3.744338    -0.001353   -0.000502    0.029408
     20.874077 10.957350  3.735252    -0.001462   -0.001057    0.027883
     23.590344  9.391384  3.728071    -0.001235   -0.001589    0.027054
     26.305311  7.824247  3.726692    -0.000744   -0.001874    0.027062
     29.019125  6.255278  3.732232    -0.000168   -0.001807    0.027903
      1.854324 25.073080  3.727389     0.000352   -0.001838    0.023762
      4.568525 23.503051  3.738789     0.000655   -0.001488    0.027366
      7.284705 21.932231  3.748404     0.000557   -0.000939    0.030953
     10.002684 20.362450  3.753366     0.000158   -0.000455    0.033347
     12.721614 18.792346  3.754296    -0.000451   -0.000102    0.033345
     15.440422 17.224241  3.749986    -0.001067    0.000001    0.030937
     18.158156 15.656964  3.741194    -0.001592   -0.000188    0.027321
     20.875147 14.091216  3.730306    -0.001749   -0.000631    0.023695
     23.591056 12.525670  3.720328    -0.001486   -0.001161    0.021128
     26.305489 10.959620  3.715589    -0.000927   -0.001627    0.020206
     29.018829  9.392112  3.718559    -0.000242   -0.001876    0.021168
      1.853239 28.208538  3.714576     0.000451   -0.001587    0.017386
      4.566945 26.639836  3.726199     0.000932   -0.001590    0.022097
      7.282922 25.069882  3.739462     0.000980   -0.001297    0.027346
     10.000616 23.499638  3.749870     0.000573   -0.000793    0.031425
     12.720126 21.929245  3.754274    -0.000152   -0.000286    0.032991
     15.439630 20.359502  3.750768    -0.000954    0.000089    0.031409
     18.158375 18.790918  3.740843    -0.001593    0.000190    0.027302
     20.875775 17.224093  3.727950    -0.001828   -0.000001    0.022029
     23.591544 15.658216  3.716129    -0.001590   -0.000418    0.017312
     26.305397 14.092356  3.708718    -0.000999   -0.000888    0.014663
     29.018697 12.526256  3.708143    -0.000255   -0.001314    0.014691
      1.852374 31.341710  3.706278     0.000524   -0.000891    0.012440
      4.565730 29.774420  3.715467     0.001166   -0.001169    0.017356
      7.280537 28.205475  3.729012     0.001434   -0.001205    0.023717
      9.998111 26.636057  3.742894     0.001128   -0.000929    0.029388
     12.717579 25.065444  3.752145     0.000388   -0.000423    0.032640
     15.437685 23.495152  3.752133    -0.000550    0.000118    0.032631
     18.157099 21.925265  3.743373    -0.001357    0.000507    0.029354
     20.875377 20.357005  3.729587    -0.001752    0.000631    0.023664
     23.591220 18.789658  3.715886    -0.001592    0.000417    0.017296
     26.305706 17.223990  3.706461    -0.001034    0.000001    0.012405
     29.018101 15.658351  3.703296    -0.000266   -0.000462    0.010626
      0.882440  1.423958 23.946829    -0.003941   -0.006881   -0.092513
      3.395143 -0.027666 23.936393    -0.015570   -0.000041   -0.084576
      5.898822 -1.474493 23.912310    -0.023196    0.004950   -0.063026
      8.391648 -2.913827 23.882158    -0.024670    0.006827   -0.032798
     10.873458 -4.347969 23.853776    -0.020360    0.005597   -0.003645
     13.347572 -5.778013 23.834433    -0.012170    0.001640    0.016529
     15.818258 -7.204430 23.827706    -0.002161   -0.003822    0.023625
     18.289153 -8.630242 23.834770     0.007611   -0.009716    0.016508
     20.764836-10.057722 23.854611     0.015166   -0.014792   -0.003663
     23.248915-11.488795 23.882657     0.018401   -0.017900   -0.032829
     25.742515-12.927617 23.913302     0.016030   -0.017563   -0.063118
     28.247714-14.373522 23.937392     0.007851   -0.013468   -0.084702
      0.880481  4.321043 23.930433    -0.002957   -0.018487   -0.077006
      3.392485  2.869780 23.929347    -0.014451   -0.011860   -0.076914
      5.898696  1.418954 23.912145    -0.023176   -0.005056   -0.063019
      8.395269 -0.026537 23.885448    -0.026565   -0.000055   -0.037755
     10.880759 -1.466818 23.856642    -0.023975    0.002078   -0.009116
     13.357515 -2.901448 23.833045    -0.017108    0.000999    0.014167
     15.829294 -4.330544 23.820172    -0.007852   -0.002762    0.027039
     18.300205 -5.756938 23.820227     0.001702   -0.008257    0.027034
     20.774889 -7.182577 23.833789     0.009626   -0.014379    0.014163
     23.256667 -8.609222 23.857839     0.014000   -0.019782   -0.009118
     25.747239-10.041993 23.886981     0.013426   -0.023107   -0.037820
     28.248325-11.481136 23.913781     0.007355   -0.022660   -0.063177
      0.877557  7.206474 23.903221    -0.001410   -0.024326   -0.050350
      3.386207  5.759594 23.910058    -0.011433   -0.019858   -0.056457
      5.892315  4.309264 23.901594    -0.020248   -0.013391   -0.050170
      8.391291  2.860704 23.881692    -0.024633   -0.006918   -0.032772
     10.880565  1.414686 23.856339    -0.023957   -0.002212   -0.009104
     13.361128 -0.025675 23.831869    -0.018942   -0.000086    0.013319
     15.835627 -1.459329 23.814307    -0.011170   -0.001053    0.028969
     18.308102 -2.888609 23.807740    -0.002601   -0.004750    0.034584
     20.783219 -4.315238 23.814508     0.004907   -0.010322    0.028985
     23.264048 -5.740164 23.832949     0.009641   -0.016585    0.013358
     25.752153 -7.168628 23.858418     0.010262   -0.022013   -0.009087
     28.249537 -8.601986 23.883632     0.006455   -0.024950   -0.032863
      0.875116 10.079070 23.873299    -0.000076   -0.023126   -0.019823
      3.379216  8.638132 23.883892    -0.007560   -0.021819   -0.029025
      5.882562  7.192184 23.883177    -0.015087   -0.017423   -0.028986
      8.381189  5.744464 23.871430    -0.019864   -0.011580   -0.019719
     10.872993  4.295534 23.853002    -0.020318   -0.005690   -0.003611
     13.357318  2.849954 23.832379    -0.017087   -0.001146    0.014194
     15.835600  1.410553 23.813945    -0.011164    0.000885    0.028991
     18.310951 -0.023466 23.802520    -0.004166   -0.000088    0.037328
     20.787794 -1.453204 23.802612     0.002245   -0.003790    0.037346
     23.269273 -2.879275 23.814512     0.006586   -0.009382    0.029056
     25.756251 -4.306067 23.834213     0.007751   -0.015553    0.014274
     28.250959 -5.735351 23.855119     0.005341   -0.020631   -0.003589
      0.873678 12.941022 23.848205     0.000726   -0.016160    0.005808
      3.374032 11.505904 23.857383    -0.004461   -0.018126   -0.002912
      5.872985 10.066034 23.860251    -0.009732   -0.016802   -0.006185
      8.368892  8.622575 23.856053    -0.013438   -0.012851   -0.002915
     10.860645  7.174488 23.846233    -0.014248   -0.007391    0.005805
     13.347295  5.726137 23.833337    -0.012144   -0.001724    0.016579
     15.829249  4.281528 23.819200    -0.007843    0.002640    0.027103
     18.308190  2.841526 23.807159    -0.002606    0.004596    0.034648
     20.787883  1.406845 23.802323     0.002236    0.003616    0.037383
     23.271195 -0.022449 23.807563     0.005499   -0.000088    0.034713
     25.758715 -1.450265 23.820604     0.006381   -0.005621    0.027213
     28.252264 -2.877793 23.835085     0.004675   -0.011538    0.016677
      0.872919 15.796518 23.834154     0.001222   -0.005799    0.019871
